Politicians that decide the plans from state to state	 US State Energy Policies	 Different energy laws in the US
Enron press releases	 Enron media statements	 How is Enron presented in the media
Whats the difference between us states role in Erons  business model	 Enron laws	 Enron legal obligations US states 
Geroge W.Bush Enron	 George W Bush Enron links benefit	 How George W Bush and Enrons connection lead to success
Exeter bodies related to Erons buisness	Connections with Enron	 Enron partnerships links stakeholders
Recruitment process for Eron	 How does the hiring process work at Enron and what are the requirements	people who have worked for Enron and how they got the job
legal team at Enron 	Enron legal issues	 Whats the story of the Enron court cases and what was involved
enron public perceptions	 Public opinion energy companies Enron	 articles on Enron and peoples opinion on the energy industry
energy price cap origins	 Energy price caps rules public opinion	Energy price caps and rules
what legal action was taken against Enron and why	 Enron legal history	 Were there any court cases against Enron and why
Enron scandal where are they now	 enron scandals and take overs	 I would like to know what the scandals were and how sensitively it was handled
How did the energy market come about and how does it work	 How was the energy market of California named	 Californian energy market
Enron conference appearances	 enron confrences	Enron conference subjects
Enron flights and airlines	 flights booking enron employees method of booking destinations airlines employee status	 Which flights for enron employees on which airlines
Bill Lockyer scandal personal life	 Bill lockyer scandal interests	 Details of the Bill Lockyer scandal and its affect on him
Enron planning	 How does Enron organise meetings within their company	Enron strategic planning and objectives
How reliable is the energy in the US and who is responsible for maintaining the energy grid	 How functional is the energy system in United States	 USA energy grid reliability
Enron contacts	 Enron network companies	 How does Enron work with the companies contacts and utilise them
What is the cost of natural gas now and why did the prices increase	 natural gas explained enron	 natural gas average costs
Enron privacy confidentiality staff rules	 Enron confidential information policies	 Was are the trading securities use within enron
Electric industry restructuring conference report	 What institutions and organisations were involved and papers presented in the electric industry restructuring conference 	groups involved electric industry restructuring conference
California energy grid operator	 More information about ensuring reliability of Californian energy grid	Which companies manage the Californian power grid
Energy auctions price cap	 How high prices in energy auctions are limited and who capped the prices and how they did it.	how does bid mitigation work
Enron bolivia media coverage	 Enron Bolivia	 Enrons business and investment in Bolivia
Enron article discussions list	 What articles are being discussed at Enron and what is the source	 Enron articles and its authors
How was information like news cycles and events summarised distilled and distributed	News cycle information summary	 fully detailed summary of the information of the event and how was it distilled and distributed
Enron meeting minutes	 Who attending the meetings what were they about	Are there any transcripts or guest lists of the Enron meetings
Enron investments	 What areas did Enron invest in and how was this done Were they successful	What are the financial and earnings report of Enron during the years of the scandal
Enron in Sacramento	 Enron activities and senate	 What has Enron provided to the city of Sacramento and what personal relationships did Enron have with those in power
Enron procurement	 Which department specifically handled sourcing Enrons of materials and how does it compare to other comapnies	 show me enron documents regarding sourcings and procurement Were enron effective in what they set out to do
Mathematics conferences Who are Enron	 Who spoke at the financial conference and where did they take place	 What does Enron do at the financial mathematics conferences Where did the most recent one happen and who were the speakers at it 
How do Enron transfer messages	 Enron transfer of information process	 Confidential information Enron methods and 3rd parties 
Interstate gas - who is the regulator	 Which body is involved in deciding conditions for companies involved in interstate gas transfers	 Which Enron company decided the interstate transfer of gas 
Enron analysts details and history	 What professions are there at Enron and how is the recruitment process	What types of analysts were at Enron  how did these analysts join the company
What is Enrons relationship with the state of California how does it operate in the state and what are its assets there	 Enron california gov reports	 How did Enron flourish under Californias trade laws 
What is Kenneth Lays role in Enron how did he inherit the role and are there any investigations into him	 Kenneth Lay investigation wiki scandal	 How did Kenneth Lay get his position at Enron could the allegations against him be true 
Mellisa keans relationships with Enron members and what she done for a living	 Mellisa Ken Enron history and relationships where is she from	What was the relationship between Mellisa Kean and any members of Enron staff.  What she did for a living and where did this take place
What role does Vincent Kaminski play at Enron and what was his research on What are all the presentations and talks he have as part of his job description at Enron	 What was Vincent kaminski researching at enron	 Vincent kaminski Enron 
What was Jeff Skillings role and what did it consist of Why did he resign and what factors played a role in him choosing to leave Enron only after 6 months	 Jeff Skilling role and resignation	What was Jeff skillings role in Enron and why did he resign
What was Joanna Vidal job and what role did she play What types of events did she organise for Enron and its subjects	 Enron events Joanna Vidal and work	What events did Joanna Vidal organise for Enron
What US senator and state did Enron target	 which US states were affected by the Enron	 Senators linked to enron
Investor owned utilities public opinion not Enron	what are IOUs and how does the public feel about them	 Types of investor owned utilities and similar ones
Brussels energy industry events enron	 Brussels energy market Enron. Brussels events	 History of Enrons activities in Brussels
how was Paris affected by Enron	 Enron Paris and significance of international energy industry in Paris Paris energy companies	 History of Enrons activities in Paris
How does energy work in Amsterdam enron	 what is the influence of Enron on Amsterdam and how do people in Amsterdam view the energy crisis	 Enron Amsterdam activity local
Enron London offices	Where in London was the Enron office located what are the laws of the area	 Officers held by Enron in London and its influence to European operations 
What universities does enron work with and what do they do publishings	 What are the papers published by Enron and through which universities	 Enrons influence in universities and its collaborated publications 
Who did enron send receive letters and why	subject senders and recipients of enron letters	 who did Enron send letters to and what about
what type of taxes did enron pay	 what were Enrons business tax rates as an energy supplier	 History breakdown of Enrons tax activities 
Associated press enron	Relationship between the associated press and Enron	 Enron press articles company 